Wind Farm,Severity Score
CANDAL,0.44593731446129625
SEGREDAL,0.4335622337939715
DOS ARBOLITOS,0.384120343226898
ARECLEOCH,0.3353818399868003
NAVAZO,0.31589760748820267
CAPIRUZA II,0.3070072348810635
ARACHNAIO II,0.3064969304239626
ENTREDICHO,0.2977773530129162
ISLETES,0.29568189345649754
CAPIRUZA I,0.2920926691744886
FUENDETODOS I,0.2855811577330518
CANTALOJAS,0.28049183649754106
VALBONILLA,0.2785024320677869
CATEFICA,0.26852893821874396
SIERRA MENERA,0.2616785841050652
SIL AMPLIACION,0.2544695897073124
GOIA PEÑOTE,0.24050943584178744
