Wind Farm,Severity Score
EL CABO,0.4256219509858103
TWIN BUTTES II,0.4013622204762608
DESERT WIND,0.35891076568165386
CALANGO VI,0.27121652245345107
SANTANA I,0.26984858960492886
SANTANA II,0.26554946234598586
