Wind Farm,Severity Score
URKILLA,1.9592207946126938
GOIA PEÑOTE,1.955227760229908
SIERRA DE ALCARAMA II,1.953416924294332
SIERRO,1.930443270950816
CRUZ I,1.8384229780136687
SOMOLINOS,1.82519640923197
HIJES,1.793291214757112
PORTELRUBIO,1.2028301850001335
