Wind Farm,Severity Score
PEBBLE SPRINGS,0.5171447224800568
HAY CANYON,0.44460375969127086
LEANING JUNIPER IIA,0.39950685117712237
RUGBY,0.3993205199926299
DRY LAKE II,0.3684641029748755
DRY LAKE I,0.3394200763212739
STAR POINT,0.3162742261812852
