,NOM_CORE,NOM_INSTALACION,COD_DATOS_YMA,COD_INSTALACION,COD_ELEMENTO,COD_ALERTA_PRE,BIN_VIENTO,BIN_YAW,TIEMPO_TOTAL,POT_MEDIA,VEL_VIENTO_MEDIA,POT_STD,VEL_VIENTO_STD,RANKING,FEC_HORA_INI,FEC_HORA_FIN
29,,LAGOA II,31100411.0,2001.0,15782.0,62364517.0,"(12, 15]","(-Infinito, -26]",290.0,1811.04,12.75,283.98,1820.57,15.0,2020-10-01,2020-11-01
30,,LAGOA II,31100410.0,2001.0,15782.0,62364517.0,"(9, 12]","(26, Infinito]",2840.0,1283.84,9.81,452.14,1351.88,14.0,2020-10-01,2020-11-01
31,,LAGOA II,31100409.0,2001.0,15782.0,62364517.0,"(9, 12]","(22, 26]",3420.0,1638.69,10.07,379.33,1672.21,12.0,2020-10-01,2020-11-01
32,,LAGOA II,31100408.0,2001.0,15782.0,62364517.0,"(9, 12]","(18, 22]",8530.0,1718.34,10.16,363.29,1746.39,10.0,2020-10-01,2020-11-01
33,,LAGOA II,31100407.0,2001.0,15782.0,62364517.0,"(9, 12]","(14, 18]",19060.0,1839.09,10.22,307.61,1854.56,8.0,2020-10-01,2020-11-01
34,,LAGOA II,31100406.0,2001.0,15782.0,62364517.0,"(9, 12]","(10, 14]",41880.0,1906.16,10.24,271.29,1915.23,7.0,2020-10-01,2020-11-01
35,,LAGOA II,31100405.0,2001.0,15782.0,62364517.0,"(9, 12]","(6, 10]",73940.0,1951.09,10.25,237.51,1955.31,5.0,2020-10-01,2020-11-01
36,,LAGOA II,31100404.0,2001.0,15782.0,62364517.0,"(9, 12]","(2, 6]",113080.0,1978.68,10.23,217.04,1980.38,3.0,2020-10-01,2020-11-01
37,,LAGOA II,31100403.0,2001.0,15782.0,62364517.0,"(9, 12]","(-2, 2]",148680.0,1992.52,10.2,202.16,1992.6,1.0,2020-10-01,2020-11-01
38,,LAGOA II,31100402.0,2001.0,15782.0,62364517.0,"(9, 12]","(-6, -2]",154180.0,1984.74,10.19,211.0,1985.79,2.0,2020-10-01,2020-11-01
39,,LAGOA II,31100401.0,2001.0,15782.0,62364517.0,"(9, 12]","(-10, -6]",113810.0,1964.52,10.18,233.19,1968.2,4.0,2020-10-01,2020-11-01
40,,LAGOA II,31100400.0,2001.0,15782.0,62364517.0,"(9, 12]","(-14, -10]",58120.0,1910.16,10.18,273.03,1919.5,6.0,2020-10-01,2020-11-01
41,,LAGOA II,31100399.0,2001.0,15782.0,62364517.0,"(9, 12]","(-18, -14]",21810.0,1803.75,10.16,335.63,1824.73,9.0,2020-10-01,2020-11-01
42,,LAGOA II,31100398.0,2001.0,15782.0,62364517.0,"(9, 12]","(-22, -18]",7200.0,1686.44,10.26,385.66,1719.98,11.0,2020-10-01,2020-11-01
43,,LAGOA II,31100397.0,2001.0,15782.0,62364517.0,"(9, 12]","(-26, -22]",2480.0,1593.27,10.27,389.02,1630.1,13.0,2020-10-01,2020-11-01
44,,LAGOA II,31100396.0,2001.0,15782.0,62364517.0,"(9, 12]","(-Infinito, -26]",2240.0,1252.17,10.06,465.32,1326.41,15.0,2020-10-01,2020-11-01
45,,LAGOA II,31100395.0,2001.0,15782.0,62364517.0,"(6, 9]","(26, Infinito]",14480.0,750.3,7.3,339.24,816.78,14.0,2020-10-01,2020-11-01
46,,LAGOA II,31100394.0,2001.0,15782.0,62364517.0,"(6, 9]","(22, 26]",10990.0,888.08,7.38,377.92,958.36,11.0,2020-10-01,2020-11-01
47,,LAGOA II,31100393.0,2001.0,15782.0,62364517.0,"(6, 9]","(18, 22]",20490.0,960.72,7.43,383.36,1027.49,10.0,2020-10-01,2020-11-01
48,,LAGOA II,31100392.0,2001.0,15782.0,62364517.0,"(6, 9]","(14, 18]",35710.0,1035.01,7.45,387.23,1098.1,8.0,2020-10-01,2020-11-01
49,,LAGOA II,31100391.0,2001.0,15782.0,62364517.0,"(6, 9]","(10, 14]",62530.0,1116.37,7.54,398.49,1178.26,6.0,2020-10-01,2020-11-01
50,,LAGOA II,31100390.0,2001.0,15782.0,62364517.0,"(6, 9]","(6, 10]",105070.0,1175.8,7.58,406.33,1236.87,4.0,2020-10-01,2020-11-01
51,,LAGOA II,31100389.0,2001.0,15782.0,62364517.0,"(6, 9]","(2, 6]",163790.0,1217.87,7.6,412.84,1278.75,3.0,2020-10-01,2020-11-01
52,,LAGOA II,31100388.0,2001.0,15782.0,62364517.0,"(6, 9]","(-2, 2]",210190.0,1237.76,7.61,415.65,1298.47,1.0,2020-10-01,2020-11-01
53,,LAGOA II,31100387.0,2001.0,15782.0,62364517.0,"(6, 9]","(-6, -2]",208750.0,1220.24,7.6,416.63,1282.21,2.0,2020-10-01,2020-11-01
